Exchange,Pair,Category,Token CEX,Token Name,Ticker,Market Cap Today,FDV Today,Depth +2%,Depth -2%,Bid Ask Spread Percentage,24H Volume (USD)
Bitget,USDT,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,18741.66937463452,57937.65277229195,0.03,453207.0
Bybit,USDT,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,627241.1808172406,573313.931485933,0.03,738942.0
Gate.io,USDT,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,143640.18683635799,141686.96834654812,0.02,2828952.0
KuCoin,USDT,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,60666.23279632758,84469.5264140628,0.03,1207623.0
MEXC,USDT,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,25026.4255139713,12898.625027104456,0.03,1294737.0
MEXC,USDC,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",xdce-crowd-sale,XDC Network,XDC,987854435.0,2314695563.0,1841.5187176244235,4367.880679598247,0.65,62021.0
Binance,USDT,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,189813.02850021652,282084.71015054104,0.15,11264507.0
Binance,USDC,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,14218.363142727609,17317.977864825272,0.28,578382.0
Bitget,USDT,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,10692.387311213175,10575.014371130565,0.66,176758.0
Bybit,USDT,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,2417.5928672209143,1323.0963199611442,0.3,2083751.0
Bybit,USDC,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,844.7848900871727,756.763562515119,1.93,36304.0
Gate.io,USDC,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,145.39342149216142,11.750364684414427,1.9,777.92
Gate.io,USDT,"Smart Contract Platform, DWF Labs Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",eos,EOS,EOS,959997396.0,1329035150.0,258.2694735210376,42.88060324431334,1.57,14502646.0
Bybit,USDT,"Liquid Staking Tokens, Ethereum Ecosystem, Mantle Ecosystem, Liquid Staked ETH, Liquid Staking",mantle-staked-ether,Mantle Staked Ether,METH,924061418.0,924061418.0,9218.775130110544,8198.138552772738,0.33,64479.0
Bybit,USDT,"Solana Ecosystem, Meme, Ethereum Ecosystem, Base Ecosystem, Bridged-Tokens, Murad Picks, Stock market-themed, 4chan-Themed",spx6900,SPX6900,SPX,919448100.0,919448100.0,60930.1519274581,77276.58600094152,0.09,6988938.0
Gate.io,USDT,"Solana Ecosystem, Meme, Ethereum Ecosystem, Base Ecosystem, Bridged-Tokens, Murad Picks, Stock market-themed, 4chan-Themed",spx6900,SPX6900,SPX,919448100.0,919448100.0,20979.295709623253,17132.356923852778,0.06,4995489.0
KuCoin,USDT,"Solana Ecosystem, Meme, Ethereum Ecosystem, Base Ecosystem, Bridged-Tokens, Murad Picks, Stock market-themed, 4chan-Themed",spx6900,SPX6900,SPX,919448100.0,919448100.0,26729.41098242688,45928.50344040557,0.08,1442192.0
