Exchange,Category,Token CEX,Token Name,Ticker,Market Cap Today,FDV Today,Depth +2%,Depth -2%,Bid Ask Spread Percentage,24H Volume (USD) on USDT
Binance,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",nexo,NEXO,NEXO,985094975,985094975.0,32359.392254491515,65469.83212182181,0.1,6403603.0
Bitget,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",nexo,NEXO,NEXO,985094975,985094975.0,46163.155860761595,47754.0504171249,0.2,241178.0
Bybit,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",nexo,NEXO,NEXO,985094975,985094975.0,19007.0978667413,18287.45250552764,0.21,583053.0
Gate.io,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",nexo,NEXO,NEXO,985094975,985094975.0,19778.230459895298,21508.698819633704,0.34,53129.0
MEXC,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",nexo,NEXO,NEXO,985094975,985094975.0,41996.880929264866,67615.4024801646,0.07,4693649.0
Binance,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,223086.970919801,267100.929890036,0.03,24035041.0
Bitget,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,54262.017623140564,62917.45398011144,0.06,425889.0
Bybit,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,118428.72478698027,155191.55065172038,0.06,7148693.0
Gate.io,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,339472.63850062137,283523.17903008737,0.03,30762443.0
KuCoin,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,87261.17522273898,110708.82845524779,0.03,1320867.0
MEXC,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",jupiter-exchange-solana,Jupiter,JUP,960944041,2364866649.0,190991.91180106133,242094.80715020344,0.09,11692468.0
Binance,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,78218.34212000402,84369.84348081103,0.16,6354735.0
Bitget,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,109620.2856570387,121884.71328148434,0.16,1095720.0
Bybit,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,31275.15798703442,30330.127206670117,0.06,5159082.0
Gate.io,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,42453.14308837182,49985.66325075744,0.08,5853062.0
KuCoin,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,38064.59756724782,34162.82370922861,0.08,876016.0
MEXC,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",quant-network,Quant,QNT,925110871,929456297.0,120382.53457320649,162743.86315220507,0.19,2948321.0
Binance,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking",binance-staked-sol,Binance Staked SOL,BNSOL,904052942,904052942.0,48467.74181889714,193031.96150726292,0.09,5741834.0
Binance,"Decentralized Finance (DeFi), BNB Chain Ecosystem, Ethereum Ecosystem",dexe,DeXe,DEXE,885010121,1495655021.0,43882.16159976426,51214.665134837516,0.02,3070487.0
Gate.io,"Decentralized Finance (DeFi), BNB Chain Ecosystem, Ethereum Ecosystem",dexe,DeXe,DEXE,885010121,1495655021.0,16591.768413696747,18270.61788537289,0.32,1018477.0
KuCoin,"Decentralized Finance (DeFi), BNB Chain Ecosystem, Ethereum Ecosystem",dexe,DeXe,DEXE,885010121,1495655021.0,442.5541402117197,4042.461838428398,0.44,59663.0
MEXC,"Decentralized Finance (DeFi), BNB Chain Ecosystem, Ethereum Ecosystem",dexe,DeXe,DEXE,885010121,1495655021.0,11956.547972817354,9650.706216064244,0.04,1892489.0
Binance,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,269300.979817448,300904.26775471464,0.18,8979392.0
Bitget,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,198279.90479487705,194946.67834954418,0.18,3494401.0
Bybit,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,39673.83487547346,45895.57925754738,0.18,1878587.0
Gate.io,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,252813.51981157044,260726.28919597802,0.02,14133655.0
KuCoin,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,41842.635060053486,65930.71983947832,0.02,1270164.0
MEXC,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",blockstack,Stacks,STX,839425862,839425862.0,433997.3986612433,586797.0626272305,0.18,3631743.0
Bitget,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin, Made in USA",paypal-usd,PayPal USD,PYUSD,805913560,805913560.0,469563.63921065273,483432.3594486926,0.02,69348.0
Bybit,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin, Made in USA",paypal-usd,PayPal USD,PYUSD,805913560,805913560.0,293303.04510070075,286691.3653299231,0.02,317463.0
Gate.io,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin, Made in USA",paypal-usd,PayPal USD,PYUSD,805913560,805913560.0,174240.78392713526,256633.93017838642,0.02,25691.0
