Exchange,Category,Token CEX,Token Name,Ticker,Market Cap Today,FDV Today,Pair,Price,Depth +2%,Depth -2%,Bid Ask Spread Percentage,24H Volume (USD) on USDT
Binance,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.591,369169.43749961635,382361.7048010171,0.17,31687884.0
Bitget,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.589,407279.8748924012,266599.8299505315,0.17,1319323.0
Bybit,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.587,75574.79951738872,92714.79842992574,0.17,5537154.0
Gate.io,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.589,309290.7371499812,262126.16033853075,0.02,26302264.0
KuCoin,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.588,71501.12048426409,69941.52532603809,0.17,1183215.0
MEXC,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",optimism,Optimism,OP,975872623,2529291206.0,OP/USDT,0.59,727431.4953180031,577506.8456681828,0.17,11258354.0
Binance,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio",fetch-ai,Artificial Superintelligence Alliance,FET,971873122,1012738983.0,FET/USDT,0.375,291038.1319679293,320892.2235398902,0.27,24429706.0
Bitget,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio",fetch-ai,Artificial Superintelligence Alliance,FET,971873122,1012738983.0,FET/USDT,0.373,212865.48744660357,70860.27933814681,0.27,4824129.0
Bybit,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio",fetch-ai,Artificial Superintelligence Alliance,FET,971873122,1012738983.0,FET/USDT,0.372,33565.70598101994,47635.61201193728,0.27,3209606.0
Gate.io,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio",fetch-ai,Artificial Superintelligence Alliance,FET,971873122,1012738983.0,FET/USDT,0.3721,257818.42776982684,241748.29524613117,0.05,26049055.0
